Computer Science	cs
Economics	econ
Electrical Engineering and Systems Science	eess
Mathematics	math
Physics	physics
Astrophysics	physics:astro-ph
Condensed Matter	physics:cond-mat
General Relativity and Quantum Cosmology	physics:gr-qc
High Energy Physics - Experiment	physics:hep-ex
High Energy Physics - Lattice	physics:hep-lat
High Energy Physics - Phenomenology	physics:hep-ph
High Energy Physics - Theory	physics:hep-th
Mathematical Physics	physics:math-ph
Nonlinear Sciences	physics:nlin
Nuclear Experiment	physics:nucl-ex
Nuclear Theory	physics:nucl-th
Physics (Other)	physics:physics
Quantum Physics	physics:quant-ph
Quantitative Biology	q-bio
Quantitative Finance	q-fin
Statistics	stat
